Individual,Species,Temperature,Direction,Day,Date,Photo.low.pre,Photo.mean.pre,Photo.high.pre,Photo.low.post,Photo.mean.post,Photo.high.post,Resp.low,Resp.mean,Resp.high
GLSE21DD,GLSE,21,down,13,11/7/19,22.54304811,24.79073237,27.47793129,25.80376755,28.4050373,31.54986669,16.67492755,16.88674349,17.20552997
GLSE21DD,GLSE,21,down,21,11/15/19,22.25419376,24.34984436,26.85411031,29.64607022,32.49971705,35.9146006,16.67466036,16.88718949,17.20447031
GLSE21DD,GLSE,21,down,32,11/26/19,30.9315841,33.8712555,37.40079629,34.86447141,38.25546255,42.33433652,22.67394961,22.99251381,23.48293379
GLSE21UA,GLSE,21,up,0,6/4/19,18.50821933,20.35968133,22.59196547,19.99960496,22.03517097,24.49639947,14.79360333,15.00453582,15.25641024
GLSE21UA,GLSE,21,up,28,7/2/19,12.63872159,13.96816388,15.56441082,15.31013657,16.89564025,18.85000622,16.71391646,17.06902092,17.44274087
GLSE21UA,GLSE,21,up,35,7/9/19,12.37990885,13.94222056,15.78397946,15.68126218,17.51945212,19.7472445,14.3025598,15.2031876,16.09478776
GLSE21UA,GLSE,21,up,43,7/17/19,15.2149889,16.83557356,18.80754605,16.4154725,18.17605191,20.29588622,13.58299467,14.06667918,14.57097561
GLSE21UA,GLSE,21,up,49,7/23/19,14.49215382,16.04156546,17.92170689,15.96331072,17.64990285,19.71178846,13.26617312,13.42931006,13.65388913
GLSE21UA,GLSE,21,up,56,7/30/19,17.26354169,19.07444055,21.24441662,19.7799318,21.88299408,24.46870201,13.08148475,13.29442718,13.61312763
GLSE21UA,GLSE,21,up,63,8/6/19,16.12196205,17.78192297,19.77282492,19.15628051,21.16809474,23.60763063,12.07798434,12.28133021,12.57440868
GLSE21UA,GLSE,21,up,70,8/13/19,17.33827779,19.05039375,21.14334349,18.99362874,20.89881221,23.20339455,13.05711018,13.22438434,13.45658137
GLSE21UA,GLSE,21,up,77,8/21/19,18.78005874,20.53282234,22.60091,22.38220068,24.49610543,27.02539606,12.90531125,13.10805769,13.40483719
GLSE21UA,GLSE,21,up,99,9/12/19,21.97593355,24.16164069,26.7812084,23.83215551,26.23788109,29.13803016,13.26902148,13.42846036,13.64095429
GLSE21UB,GLSE,21,up,0,6/4/19,11.0944081,12.26030796,13.65180511,12.66295873,13.99400866,15.60629071,7.383091864,7.857010998,8.347348692
GLSE21UB,GLSE,21,up,22,6/26/19,1.338540999,2.006536842,2.695540365,3.434242626,3.789464745,4.203681135,11.85156921,12.00463749,12.20588782
GLSE21UB,GLSE,21,up,28,7/2/19,3.586326259,4.128725408,4.734886947,4.630143112,5.11922012,5.71360728,9.675024721,9.797323353,9.99766069
GLSE21UB,GLSE,21,up,35,7/9/19,7.806506206,8.773943046,9.897105109,9.36283366,10.4284954,11.68973524,9.158718825,9.691541296,10.25223561
GLSE21UB,GLSE,21,up,45,7/19/19,11.26450703,12.45910197,13.89775391,12.48007207,13.81863871,15.43082036,11.53188306,12.0395479,12.56006184
GLSE21UB,GLSE,21,up,52,7/26/19,8.84529264,9.811200749,10.97964781,9.558085618,10.59734545,11.86945781,9.659551105,9.960533729,10.28597393
GLSE21UB,GLSE,21,up,63,8/6/19,6.821518809,7.531847178,8.388170512,7.155996611,7.908137911,8.815365274,6.797872918,7.059584801,7.408588176
GLSE21UB,GLSE,21,up,70,8/13/19,6.741600308,7.50822394,8.404178099,6.730105147,7.520745399,8.442535466,7.030546836,7.54045425,8.094270689
GLSE21UB,GLSE,21,up,78,8/21/19,11.06659617,12.26418877,13.69860399,11.50141336,12.77377247,14.29606827,9.153999547,9.634189295,10.1370239
GLSE21UB,GLSE,21,up,94,9/6/19,13.53604419,14.90310759,16.56144987,13.94719714,15.39124446,17.13538997,9.584700978,9.758863657,10.00478751
GLSE21UB,GLSE,21,up,108,9/20/19,10.89290386,12.02487202,13.39726068,12.573697,13.89049294,15.50068616,9.789677499,9.965109082,10.21504515
GLSE21UB,GLSE,21,up,139,10/21/19,9.159583692,10.15576241,11.32567573,10.13690111,11.18088821,12.44165228,9.166036597,9.372493444,9.682191893
GLSE21UB,GLSE,21,up,151,11/2/19,10.60319437,11.65759805,12.92238613,11.57222168,12.73079594,14.13602891,11.62796973,11.88165616,12.25036318
GLSE21UB,GLSE,21,up,161,11/12/19,14.94197909,16.47417928,18.31983511,17.49166572,19.29637246,21.49076735,14.85893081,15.09606108,15.43418552
GLSE21UC,GLSE,21,up,0,6/4/19,8.066048921,9.095956442,10.26878059,9.553547038,10.7523056,12.15121777,6.886561695,7.512334192,8.165083628
